Client Username,Client IP Address,Client MAC Address,Association Time,Vendor,AP Name,Radio Type,Device Name,Map Location,SSID,Profile,VLAN ID,Protocol,Session Duration,Policy Type,Avg. Session Throughput(Kbps)
8feda9dd2e451dfcf241c2401c2c2a,10.250.241.4,10c8551707fd4327605daee25e6310,Fri Feb 23 16:44:18 PST 2018,Intel Corporate,CVB-3-359,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,2 hrs 8 min 42 sec,WPA2,852.9
8feda9dd2e451dfcf241c2401c2c2a,10.250.241.4,10c8551707fd4327605daee25e6310,Sat Feb 24 10:39:40 PST 2018,Intel Corporate,CVB-3-360,802.11b/g/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),10 min 23 sec,WPA2,"1,340.2"
8feda9dd2e451dfcf241c2401c2c2a,10.250.241.4,10c8551707fd4327605daee25e6310,Sat Feb 24 09:37:23 PST 2018,Intel Corporate,CVB-3-359,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,1 hrs 2 min 17 sec,WPA2,"2,519.9"
8feda9dd2e451dfcf241c2401c2c2a,10.250.241.4,10c8551707fd4327605daee25e6310,Sat Feb 24 10:50:03 PST 2018,Intel Corporate,CVB-3-359,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 hrs 28 min 31 sec,WPA2,981.1
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 10:55:15 PST 2018,Intel Corporate,KNG-7-700-4,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11ac,57 min 7 sec,WPA2,522.2
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 11:52:23 PST 2018,Intel Corporate,KNG-7-700-5,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11ac,10 min 25 sec,WPA2,30.2
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 12:02:49 PST 2018,Intel Corporate,KNG-7-700-5,802.11b/g/n,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11n(2.4GHz),10 min 39 sec,WPA2,41.2
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 12:13:28 PST 2018,Intel Corporate,KNG-7-700-4,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11ac,37 min 1 sec,WPA2,450.6
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 12:50:29 PST 2018,Intel Corporate,KNG-7-711-7,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11ac,1 hrs 33 min 52 sec,WPA2,74.9
2bc30fac01f978febfb0984af5e024,10.250.16.155,a4d91d77e52cf03b9f8d80c2ad1bb9,Sat Feb 24 14:24:22 PST 2018,Intel Corporate,KNG-7-711-4,802.11a/n/ac,SJS-0CC-112-C6K-WiSM-1a,MLKL LIbrary > MLKL > Seventh,eduroam,eduroam,120,802.11ac,1 hrs 50 min 45 sec,WPA2,101.4
4e0b149cb2b7401195899b316d3d24,10.250.154.100,251d6438f7cce1c4d14de8066f9802,Fri Feb 23 22:05:24 PST 2018,Intel Corporate,ENG-3-315-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(5GHz),15 min 43 sec,WPA2,228.1
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 17:33:39 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,10 min 46 sec,WPA2,3.9
